Date,Close,Open,High,Low,STOCHk_14_3_3,STOCHd_14_3_3,stoch_diff,Stoch_Signal,Stoch_Entry/Exit,side,cost/proceeds,trade_volume,shares,value
2021-06-29 15:30:00-04:00,427.67999267578125,427.70001220703125,427.80999755859375,427.4599914550781,67.10328799481844,69.08433979756416,-1.9810518027457107,-1.0,0.0,hold,,,0.0,
2021-06-30 09:30:00-04:00,427.9200134277344,427.5400085449219,428.0299987792969,427.2799987792969,70.34937326170609,68.44756861101585,1.901804650690238,1.0,2.0,go long,-42792.00134277344,100.0,100.0,42792.00134277344
2021-06-30 10:30:00-04:00,427.95001220703125,427.9200134277344,428.3800048828125,427.79998779296875,73.40838953023201,70.28701692891885,3.121372601313169,1.0,0.0,hold,,,100.0,
2021-06-30 11:30:00-04:00,427.80999755859375,427.95001220703125,428.1199951171875,427.7699890136719,75.03143216367583,72.92973165187131,2.1017005118045233,1.0,0.0,hold,,,100.0,
2021-06-30 12:30:00-04:00,427.8599853515625,427.80999755859375,428.17999267578125,427.7200012207031,74.28201318245893,74.24061162545559,0.04140155700333992,1.0,0.0,hold,,,100.0,
2021-06-30 13:30:00-04:00,427.885009765625,427.8699951171875,427.95001220703125,427.5799865722656,69.99271312922009,73.10205282511829,-3.1093396958982,-1.0,-2.0,sell_short,42788.5009765625,100.0,0.0,42788.5009765625
2021-06-30 14:30:00-04:00,428.1600036621094,427.8800048828125,428.2149963378906,427.79998779296875,70.22373475097406,71.49948702088437,-1.2757522699103134,-1.0,0.0,hold,,,0.0,
2021-06-30 15:30:00-04:00,428.05999755859375,428.1549987792969,428.7799987792969,427.9599914550781,64.41748622911962,68.21131136977125,-3.7938251406516343,-1.0,0.0,hold,,,0.0,
2021-07-01 09:30:00-04:00,429.3699951171875,428.8699951171875,429.6600036621094,428.79998779296875,72.50120150897344,69.04747416302239,3.4537273459510516,1.0,2.0,go long,-42936.99951171875,100.0,100.0,42936.99951171875
2021-07-01 10:30:00-04:00,429.3399963378906,429.3800048828125,429.739990234375,428.8599853515625,76.52502814587696,71.14790529465667,5.377122851220292,1.0,0.0,hold,,,100.0,
2021-07-01 11:30:00-04:00,429.5450134277344,429.3299865722656,429.6600036621094,429.2799987792969,88.58042193720746,79.20221719735262,9.378204739854837,1.0,0.0,hold,,,100.0,
2021-07-01 12:30:00-04:00,429.7500915527344,429.54998779296875,429.7799987792969,429.4100036621094,92.02516083084534,85.71020363797659,6.3149571928687465,1.0,0.0,hold,,,100.0,
2021-07-01 13:30:00-04:00,430.19000244140625,429.75,430.20989990234375,429.7099914550781,96.91832055790645,92.50796777531976,4.410352782586699,1.0,0.0,hold,,,100.0,
2021-07-01 14:30:00-04:00,430.2699890136719,430.17999267578125,430.5199890136719,430.1499938964844,96.83643556488967,95.2599723178805,1.5764632470091726,1.0,0.0,hold,,,100.0,
2021-07-01 15:30:00-04:00,430.4800109863281,430.2799987792969,430.6000061035156,430.0400085449219,96.0078603653683,96.58753882938815,-0.5796784640198496,-1.0,-2.0,sell_short,43048.00109863281,100.0,0.0,43048.00109863281
